2024-01-30 14:54:15 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601252.9608588)}
2024-01-30 14:54:58 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:54:58 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601252.9608588)}
2024-01-30 14:54:58 | INFO | stdout | [32mINFO[0m:     127.0.0.1:48742 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:55:15 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601298.0058956)}
2024-01-30 14:55:43 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:55:43 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601298.0058956)}
2024-01-30 14:55:43 | INFO | stdout | [32mINFO[0m:     127.0.0.1:38806 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:56:15 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601343.0416653)}
2024-01-30 14:56:28 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:56:28 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601343.0416653)}
2024-01-30 14:56:28 | INFO | stdout | [32mINFO[0m:     127.0.0.1:35902 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:57:13 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:57:13 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601388.0892463)}
2024-01-30 14:57:13 | INFO | stdout | [32mINFO[0m:     127.0.0.1:53190 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:57:15 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601433.1400855)}
2024-01-30 14:57:58 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:57:58 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601433.1400855)}
2024-01-30 14:57:58 | INFO | stdout | [32mINFO[0m:     127.0.0.1:33812 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:58:15 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601478.1889873)}
2024-01-30 14:58:43 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:58:43 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601478.1889873)}
2024-01-30 14:58:43 | INFO | stdout | [32mINFO[0m:     127.0.0.1:34052 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:59:15 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601523.1941886)}
2024-01-30 14:59:28 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:59:28 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601523.1941886)}
2024-01-30 14:59:28 | INFO | stdout | [32mINFO[0m:     127.0.0.1:47246 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 15:00:13 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 15:00:13 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706601568.24299)}
